name,date,type
Mars 1969B,2 April 1969,Attempted Mars Orbiter (Launch Failure)
Luna 1969B,15 April 1969,Attempted Lunar Sample Return? (Launch Failure)
Apollo 10,18 May 1969,Crewed Lunar Orbiter
Luna 1969C,14 June 1969,Attempted Lunar Sample Return? (Launch Failure)
Zond L1S-2,3 July 1969,Attempted Lunar Orbiter (Launch Failure)
Luna 15,13 July 1969,Lunar Orbiter (Attempted Lunar Lander?)
Apollo 11,16 July 1969,Crewed Lunar Landing
Zond 7,7 August 1969,Lunar Flyby and Return to Earth
Cosmos 300,23 September 1969,Attempted Lunar Sample Return?
Cosmos 305,22 October 1969,Attempted Lunar Sample Return?
Apollo 12,14 November 1969,Crewed Lunar Landing
Luna 1970A,6 February 1970,Attempted Lunar Sample Return? (Launch Failure)
Luna 1970B,19 February 1970,Attempted Lunar Orbiter? (Launch Failure)
Apollo 13,11 April 1970,Crewed Lunar Mission (Landing Aborted)
Venera 7,17 August 1970,Venus Lander
Cosmos 359,22 August 1970,Attempted Venus Probe
Luna 16,12 September 1970,Lunar Sample Return
Zond 8,20 October 1970,Lunar Flyby and Return to Earth
Luna 17/Lunokhod 1,10 November 1970,Lunar Rover
Apollo 14,31 January 1971,Crewed Lunar Landing
Mariner 8,9 May 1971,Attempted Mars Flyby (Launch Failure)
Cosmos 419,10 May 1971,Attempted Mars Orbiter/Lander
Mars 2,19 May 1971,Mars Orbiter/ Attempted Lander
Mars 3,28 May 1971,Mars Orbiter/ Lander
Mariner 9,30 May 1971,Mars Orbiter
Apollo 15,26 July 1971,Crewed Lunar Landing
Luna 18,2 September 1971,Attempted Lunar Sample Return
Luna 19,28 September 1971,Lunar Orbiter
Luna 20,14 February 1972,Lunar Sample Return
Pioneer 10,3 March 1972,Jupiter Flyby
Venera 8,27 March 1972,Venus Probe
Cosmos 482,31 March 1972,Attempted Venus Probe
Apollo 16,16 April 1972,Crewed Lunar Landing
Soyuz L3,23 November 1972,Attempted Lunar Orbiter (Launch Failure)
Apollo 17,7 December 1972,Crewed Lunar Landing
Luna 21/Lunokhod 2,8 January 1973,Lunar Rover
Pioneer 11,5 April 1973,Jupiter/Saturn Flyby
Skylab,14 May 1973,Crewed Earth Orbiter
Explorer 49 (RAE-B),10 June 1973,Lunar Orbiter/Radio Astronomy
Mars 4,21 July 1973,Mars Flyby (Attempted Mars Orbiter)
Mars 5,25 July 1973,Mars Orbiter
Mars 6,5 August 1973,Mars Lander (Contact Lost)
Mars 7,9 August 1973,Mars Flyby (Attempted Mars Lander)
Mariner 10,4 November 1973,Venus/Mercury Flybys
Luna 22,2 June 1974,Lunar Orbiter
Luna 23,28 October 1974,Attempted Lunar Sample Return
Venera 9,8 June 1975,Venus Orbiter and Lander
Venera 10,14 June 1975,Venus Orbiter and Lander
Viking 1,20 August 1975,Mars Orbiter and Lander
Viking 2,9 September 1975,Mars Orbiter and Lander
Luna 1975A,16 October 1975,Attempted Lunar Sample Return?
Luna 24,9 August 1976,Lunar Sample Return
Voyager 2,20 August 1977,Jupiter/Saturn/Uranus/Neptune Flyby
Voyager 1,5 September 1977,Jupiter/Saturn Flyby
Pioneer Venus 1,20 May 1978,Venus Orbiter
Pioneer Venus 2,8 August 1978,Venus Probes
ISEE-3/ICE,12 August 1978,Comet Giacobini-Zinner and Halley Flybys
Venera 11,9 September 1978,Venus Orbiter and Lander
Venera 12,14 September 1978,Venus Orbiter and Lander
Venera 13,30 October 1981,Venus Orbiter and Lander
Venera 14,4 November 1981,Venus Orbiter and Lander
Venera 15,2 June 1983,Venus Orbiter
Venera 16,7 June 1983,Venus Orbiter
Vega 1,15 December 1984,Venus Lander and Balloon/Comet Halley Flyby
Vega 2,21 December 1984,Venus Lander and Balloon/Comet Halley Flyby
Sakigake,7 January 1985,Comet Halley Flyby
Giotto,2 July 1985,Comet Halley Flyby
Suisei (Planet-A),18 August 1985,Comet Halley Flyby
Phobos 1,7 July 1988,Attempted Mars Orbiter/Phobos Landers
Phobos 2,12 July 1988,Mars Orbiter/Attempted Phobos Landers
Magellan,4 May 1989,Venus Orbiter
Galileo,18 October 1989,Jupiter Orbiter and Probe
Hiten,24 January 1990,Lunar Flyby and Orbiter
Hubble Space Telescope,25 April 1990,Earth Orbiting Observatory
Ulysses,06 October 1990,Jupiter Flyby and Solar Polar Orbiter
Mars Observer,25 September 1992,Attempted Mars Orbiter (Contact Lost)
Clementine,25 January 1994,Lunar Orbiter/Attempted Asteroid Flyby
NEAR,17 February 1996,Asteroid Eros Orbiter
Mars Global Surveyor,07 November 1996,Mars Orbiter
Mars 96,16 November 1996,Attempted Mars Orbiter/Landers
Mars Pathfinder,04 December 1996,Mars Lander and Rover
Cassini,15 October 1997,Saturn Orbiter
Huygens,15 October 1997,Titan Probe
AsiaSat 3/HGS-1,24 December 1997,Lunar Flyby
Lunar Prospector,7 January 1998,Lunar Orbiter
Nozomi (Planet-B),3 July 1998,Mars Orbiter
Deep Space 1 (DS1),24 October 1998,Asteroid and Comet Flyby
Mars Climate Orbiter,11 December 1998,Attempted Mars Orbiter
Mars Polar Lander,3 January 1999,Attempted Mars Lander
Deep Space 2 (DS2),3 January 1999,Attempted Mars Penetrators
Stardust,7 February 1999,Comet Coma Sample Return
2001 Mars Odyssey,7 April 2001,Mars Orbiter
Genesis,8 August 2001,Solar Wind Sample Return
CONTOUR,3 July 2002,Fly-by of three Comet Nuclei
Hayabusa (Muses-C),9 May 2003,Asteroid Orbiter and Sample Return
Mars Express,2 June 2003,Mars Orbiter and Lander
Spirit (MER-A),10 June 2003,Mars Rover
Opportunity (MER-B),8 July 2003,Mars Rover
SMART 1,September 2003,Lunar Orbiter
Rosetta,2 March 2004,Comet Orbiter and Lander
MESSENGER,3 August 2004,Mercury Orbiter
Deep Impact,12 January 2005,Comet Rendezvous and Impact
Mars Reconnaisance Orbiter,12 August 2005,Mars Orbiter
Venus Express,09 November 2005,ESA Venus Orbiter
New Horizons,19 January 2006,Pluto/Charon and Kuiper Belt Flyby
Phoenix,04 August 2007,Small Mars Scout Lander
Kaguya (SELENE),14 September 2007,Lunar Orbiter
Dawn,27 September 2007,Asteroid Ceres and Vesta Orbiter
Chang'e 1,24 October 2007,CAST (China) Lunar Orbiter
Lunar-A,Cancelled,Lunar Orbiter and Penetrators
Chandrayaan-1,22 October 2008,ISRO (India) Lunar Orbiter
Kepler,7 March 2009,Extrasolar Terrestrial Planet Detection Mission
Lunar Reconnaissance Orbiter,18 June 2009,Lunar Orbiter
LCROSS,18 June 2009,Lunar Impactor
Akatsuki/Planet-C,20 May 2010,ISAS Venus Orbiter
Chang'e 2,1 October 2010,CAST (China) Lunar Orbiter
Juno,5 August 2011,Jupiter Orbiter
GRAIL,10 September 2011,Lunar Orbiter
Phobos-Grunt,08 November 2011,Attempted Martian Moon Phobos Lander
Yinghuo-1,08 November 2011,Attempted Mars Orbiter
Mars Science Laboratory,26 November 2011,Mars Rover
LADEE,06 September 2013,Lunar Orbiter
Mangalyaan,05 November 2013,ISRO (India) Mars Orbiter
MAVEN,18 November 2013,Mars Scout Mission Orbiter
Chang'e 3,01 December 2013,Lunar Lander and Rover
Chang'e 5 Test Vehicle,23 October 2014,Lunar Flyby and Return
Hayabusa 2,3 December 2014,JAXA Asteroid Sample Return
PROCYON,3 December 2014,JAXA Asteroid Flyby Mission
ExoMars 2016,14 March 2016,ESA Mars Orbiter and Lander
OSIRIS REx,8 September 2016,Sample Return Mission to Asteroid Bennu
Chang'e 5,2017,CNSA (China) Lunar Sample Return Mission
BepiColombo,April 2018,ESA and JAXA Mercury Orbiters
InSight,5 May 2018,Mars Lander
